Coaster_Name,Length,Speed,Location,Status,Manufacturer,Height_Restriction,Year_Introduced,latitude,longitude,Type_Main,Opening_Date,speed_mph,height_ft,Inversions,Gforce
Superman Escape,"760 m (2,490 ft)",100 km/h (62 mph),Warner Bros. Movie World,Operating,Intamin,140,2005,-27.908,153.3125,Steel,2005-12-26,62.1,131.2,0,4.2
Wild Mouse (Beech Bend Park),"1,377.9 ft (420.0 m)",29.1 mph (46.8 km/h),Beech Bend Park,Operating,Zamperla,107,2005,37.0225,-86.4017,Steel,2005-01-01,29.1,,0,2.5
10 Inversion Roller Coaster,"2,788.8 ft (850.0 m)",45 mph (72 km/h),Chimelong Paradise,Operating,Intamin,137,2006,23.0044,113.3269,Steel,2006-01-01,45.0,,10,
Black Mamba (roller coaster),"2,519 ft (768 m)",49.7 mph (80.0 km/h),Phantasialand,Operating,Bolliger & Mabillard,140,2006,50.7986,6.8803,Steel,2006-05-24,49.7,,4,4.0
Crystal Wing,"2,798 ft (853 m)",51 mph (82 km/h),Happy Valley Beijing,Operating,Bolliger & Mabillard,0,2006,39.866,116.4885,Steel,2006-07-09,51.0,,2,
Eejanaika (roller coaster),"3,782.83 ft (1,153.01 m)",78.3 mph (126.0 km/h),Fuji-Q Highland,Operating,S&S Arrow,125,2006,35.4884,138.7808,Steel,2006-07-19,78.3,,3,
Expedition Everest,"3,884.5 ft (1,184.0 m)",50 mph (80 km/h),Disney's Animal Kingdom,Operating,Vekoma,112,2006,,,Other,2006-04-07,50.0,,0,3.0
Fairly Odd Coaster (Kings Island),"1,350 ft (410 m)",35 mph (56 km/h),Kings Island,Operating,Philadelphia Toboggan Coasters,102,2006,39.3432,-84.2693,Wood,1972-01-01,35.0,,0,
Golden Wings in Snowfield,"2,454.1 ft (748.0 m)",53.7 mph (86.4 km/h),Happy Valley Beijing,Operating,Vekoma,0,2006,39.865,116.4846,Steel,2006-07-09,53.7,,4,
Goliath (Six Flags Over Georgia),"4,480 ft (1,370 m)",70 mph (113 km/h),Six Flags Over Georgia,Operating,Bolliger & Mabillard,137,2006,33.7692,-84.55,Steel,2006-04-01,70.0,,0,
Goliath (La Ronde),"4,038.8 ft (1,231.0 m)",68.4 mph (110.1 km/h),La Ronde,Operating,Bolliger & Mabillard,137,2006,45.5278,-73.5363,Steel,2006-05-13,68.4,,0,
Grand Exposition Coaster,280 ft (85 m),,Silver Dollar City,Operating,Zamperla,0,2006,36.6704,-93.3366,Steel,2006-04-01,,,0,
Italian Job: Turbo Coaster,"1,960 ft (600 m)",40 mph (64 km/h),Other,,Premier Rides,122,2006,,,Steel,,40.0,,0,
Jungle Racing,"2,575.5 ft (785.0 m)",30.1 mph (48.4 km/h),Happy Valley Beijing,Operating,Vekoma,0,2006,39.868,116.4874,Steel,2006-07-09,30.1,,0,2.2
Kentucky Rumbler,"2,827 ft (862 m)",47 mph (76 km/h),Beech Bend Park,Operating,Great Coasters International,122,2006,37.0225,-86.4017,Wood,2006-05-06,47.0,,0,
Kumali,"2,202.75 ft (671.40 m)",54.9 mph (88.4 km/h),Flamingo Land,Operating,Vekoma,130,2006,54.2117,-0.8066,Steel,2006-01-01,54.9,,4,4.7
Patriot (Worlds of Fun),"3,081 ft (939 m)",60 mph (97 km/h),Worlds of Fun,Operating,Bolliger & Mabillard,137,2006,39.1753,-94.4889,Steel,2006-04-08,60.0,,4,
Speed Monster,"2,264 ft (690 m)",55.9 mph (90.0 km/h),TusenFryd,Operating,Intamin,140,2006,59.7482,10.777,Steel,2006-04-23,55.9,,3,4.0
Speed: No Limits,"1,970 ft (600 m)",59 mph (95 km/h),Oakwood Theme Park,Operating,Gerstlauer,125,2006,51.779,-4.805,Steel,2006-04-13,59.0,,2,4.5
Stealth (roller coaster),"400.0 m (1,312.3 ft)",80 mph (129 km/h),Thorpe Park,Operating,Intamin,140,2006,51.405,-0.5153,Steel,2006-03-15,80.0,205.1,0,
Tatsu,"3,602 ft (1,098 m)",62 mph (100 km/h),Six Flags Magic Mountain,Operating,Bolliger & Mabillard,137,2006,34.4219,-118.5975,Steel,2006-05-13,62.0,,4,
Thunderbird (PowerPark),"2,713 ft (827 m)",48 mph (77 km/h),PowerPark,Operating,Great Coasters International,130,2006,63.2306,22.8579,Wood,2006-04-29,48.0,,0,
El Toro (Six Flags Great Adventure),"4,400 ft (1,300 m)",70 mph (110 km/h),Six Flags Great Adventure,Closed,Intamin,122,2006,40.1389,-74.4346,Wood,2006-06-12,70.0,,0,
The Voyage (roller coaster),"6,442 ft (1,964 m)",67 mph (108 km/h),Holiday World & Splashin' Safari,Operating,The Gravity Group,122,2006,38.1213,-86.9115,Wood,2006-05-06,67.0,,0,
X-Coaster,492 ft (150 m),65 mph (105 km/h),Magic Springs and Crystal Falls,Operating,Maurer AG,132,2006,34.5179,-93.0151,Steel,2006-05-27,65.0,,0,
Boardwalk Bullet,"3,236 ft (986 m)",51 mph (82 km/h),Kemah Boardwalk,Operating,Martin & Vleminckx,122,2007,29.5463,-95.0173,Wood,2007-08-31,51.0,,0,3.5
Crush's Coaster,,60.7 km/h (37.7 mph),Walt Disney Studios Park,Operating,Maurer AG,107,2007,48.8682,2.7777,Steel,2007-06-09,37.7,,0,
De Vliegende Hollander,"420 m (1,380 ft)",69 km/h (43 mph),Efteling,Operating,Kumbak,120,2007,51.648,5.0474,Steel,2007-04-01,42.9,59.1,0,2.0
Firehawk (roller coaster),"3,340 ft (1,020 m)",50 mph (80 km/h),Other,,Vekoma,137,2007,,,Steel,,50.0,,5,4.3
Formule X,"1,150 ft (350 m)",45 mph (72 km/h),Drievliet Family Park,Operating,Maurer AG,130,2007,52.0544,4.3496,Steel,2007-04-06,45.0,,2,
Furius Baco,"2,788.75 ft (850.01 m)",83.9 mph (135.0 km/h),PortAventura Park,Operating,Intamin,140,2007,41.0847,1.1564,Steel,2007-06-05,83.9,,1,4.7
Galaxy Orbiter,"455 m (1,493 ft)",40 km/h (25 mph),Galaxyland,Operating,Gerstlauer,109,2007,53.5236,-113.6211,Steel,2007-07-17,24.9,147.6,0,3.26
Griffon (roller coaster),"3,108 ft (947 m)",71 mph (114 km/h),Busch Gardens Williamsburg,Operating,Bolliger & Mabillard,137,2007,37.2344,-76.6475,Steel,2007-05-18,71.0,,2,4.0
Hollywood Dream – The Ride,"1,200 m (3,900 ft)",90 km/h (56 mph),Universal Studios Japan,Operating,Bolliger & Mabillard,132,2007,34.6666,135.4338,Steel,2007-03-09,55.9,144.4,0,
Infusion (roller coaster),"2,260 ft (690 m)",50 mph (80 km/h),Other,,Vekoma,132,2007,,,Steel,,50.0,,5,4.5
Jimmy Neutron's Atomic Flyer,"689 m (2,260 ft)",,Movie Park Germany,Operating,Vekoma,0,2007,51.62,6.9725,Steel,2007-03-01,,42.7,0,
Kirnu,465.11 ft (141.77 m),37 mph (60 km/h),Linnanmäki,Operating,Intamin,140,2007,60.1883,24.94,Steel,2007-04-27,37.0,,0,2.6
Kvasten,"395 m (1,296 ft)",55 km/h (34 mph),Gröna Lund,Operating,Vekoma,110,2007,59.3226,18.0964,Steel,2007-04-28,34.2,64.3,0,2.5
Maverick (roller coaster),"4,450 ft (1,360 m)",70 mph (110 km/h),Cedar Point,Operating,Intamin,132,2007,41.4852,-82.6925,Steel,2007-05-26,70.0,,2,
Mick Doohan's Motocoaster,"605 m (1,985 ft)",72 km/h (45 mph),Dreamworld,Operating,Intamin,110,2007,-27.8628,153.3169,Steel,2007-09-30,44.7,23.0,0,
Mystery Mine,"1,804.5 ft (550.0 m)",43.5 mph (70.0 km/h),Dollywood,Operating,Gerstlauer,122,2007,35.7956,-83.5301,Steel,2007-04-13,43.5,,2,
Phaethon (roller coaster),"3,280.83 ft (1,000.00 m)",55.9 mph (90.0 km/h),Gyeongju World,Operating,Bolliger & Mabillard,145,2007,35.8367,129.28,Steel,2007-05-05,55.9,,6,
Rage (roller coaster),"1,184 ft (361 m)",43.5 mph (70.0 km/h),Adventure Island,Operating,Gerstlauer,0,2007,51.5325,0.7167,Steel,2007-02-10,43.5,,3,4.5
Renegade (roller coaster),"3,113 ft (949 m)",51.3 mph (82.6 km/h),Valleyfair,Operating,Great Coasters International,122,2007,44.8008,-93.4611,Wood,2007-05-12,51.3,,0,3.9
Sierra Sidewinder,"1,410 ft (430 m)",37 mph (60 km/h),Knott's Berry Farm,Operating,Mack Rides,107,2007,33.845,-117.9986,Steel,2007-05-26,37.0,,0,
Star Flyer (roller coaster),,,"Barangay 1, Pasay, Philippines",Closed,,0,2007,14.556,120.9859,Other,,,,0,
Surfrider,70 m (230 ft),,Wet'n'Wild Gold Coast,Operating,Intamin,140,2007,-27.9143,153.3164,Steel,2007-09-01,,98.4,0,
Troy (roller coaster),"1,077.2 m (3,534 ft)",86.9 km/h (54.0 mph),Toverland,Operating,Great Coasters International,0,2007,,,Wood,2007-06-29,54.0,104.7,0,2.4
Wicked (roller coaster),"2,050.5 ft (625.0 m)",55 mph (89 km/h),Lagoon Amusement Park,Operating,Zierer,117,2007,40.9839,-111.8956,Steel,2007-06-01,55.0,,1,4.8
American Thunder (roller coaster),"2,713 ft (827 m)",48 mph (77 km/h),Six Flags St. Louis,Operating,Great Coasters International,122,2008,38.5125,-90.6772,Wood,2008-06-20,48.0,,0,
Backlot Stunt Coaster,"1,960 ft (600 m)",40 mph (64 km/h),Other,,Premier Rides,122,2008,,,Steel,,40.0,,0,
Behemoth (roller coaster),"1,620.9 m (5,318 ft)",124 km/h (77 mph),Canada's Wonderland,Operating,Bolliger & Mabillard,137,2008,43.839,-79.5406,Steel,2008-05-04,77.1,229.7,0,4.5
Cobra (Tivoli Friheden),"1,312 ft (400 m)",43.5 mph (70.0 km/h),Tivoli Friheden,Operating,Sartori Rides,0,2008,56.1358,10.1979,Steel,2008-06-28,43.5,,3,4.5
The Dark Knight Coaster,"1,213 ft (370 m)",30 mph (48 km/h),Other,,Mack Rides,107,2008,,,Steel,,30.0,,0,
Dive Coaster (Chimelong Paradise),,68.4 mph (110.1 km/h),Chimelong Paradise,Operating,Bolliger & Mabillard,140,2008,22.9996,113.3233,Steel,2008-02-07,68.4,,1,4.4
Dragon's Run,"3,738 ft (1,139 m)",65 mph (105 km/h),Other,,Bolliger & Mabillard,137,2008,,,Steel,,65.0,,6,
Fahrenheit (roller coaster),"2,700 ft (820 m)",58 mph (93 km/h),Hersheypark,Operating,Intamin,137,2008,40.291,-76.6552,Steel,2008-05-24,58.0,,6,
Flight Deck (Kings Island),"2,352 ft (717 m)",51 mph (82 km/h),Kings Island,Operating,Arrow Dynamics,122,2008,39.3476,-84.2652,Steel,1993-04-09,51.0,,0,2.9
Flight of the Hippogriff,"1,099.1 ft (335.0 m)",28.5 mph (45.9 km/h),Other,,"Vekoma (Orlando, Japan)Mack Rides (Hollywood, Beijing)",0,2008,,,Steel,,28.5,,0,
Goliath (Six Flags Fiesta Texas),"2,693 ft (821 m)",50 mph (80 km/h),Other,,Bolliger & Mabillard,137,2008,,,Steel,,50.0,,5,4.0
Jet Rescue,"560 m (1,840 ft)",70 km/h (43 mph),Sea World (Australia),Operating,Intamin,125,2008,-27.9568,153.4261,Steel,2008-12-26,43.5,19.7,0,2.5
Kawasemi,"2,477 ft (755 m)",52.8 mph (85.0 km/h),Tobu Zoo,Operating,Intamin,0,2008,,,Steel,2008-01-01,52.8,,0,
Mammut (roller coaster),"3,379.3 ft (1,030.0 m)",31.1 mph (50.1 km/h),Gardaland,Operating,Vekoma,0,2008,45.4578,10.7125,Steel,2008-03-19,31.1,,0,
Moto Coaster (Six Flags Darien Lake),"1,198 ft (365 m)",38 mph (61 km/h),Six Flags Darien Lake,Operating,Zamperla,122,2008,42.9304,-78.3834,Steel,2008-05-01,38.0,,0,
Muntanya Russa (Tibidabo Amusement Park),"2,427 ft (740 m)",49.7 mph (80.0 km/h),Tibidabo Amusement Park,Operating,Vekoma,0,2008,41.4228,2.1198,Steel,2008-12-23,49.7,,0,3.5
Pony Express (roller coaster),"1,300 ft (400 m)",38 mph (61 km/h),Knott's Berry Farm,Operating,Zamperla,122,2008,33.8429,-118.0013,Steel,2008-05-22,38.0,,0,
Ravine Flyer II,"2,900 ft (880 m)",60 mph (97 km/h),Waldameer Park,Operating,The Gravity Group,122,2008,42.1093,-80.157,Wood,2008-05-17,60.0,,0,3.5
Roller Coaster (Dai Nam Van Hien),"680 m (2,230 ft)",75 km/h (47 mph),Đại Nam Văn Hiến,Operating,Hebei Zhongye Metallurgical Equipment,137,2008,11.0433,106.6325,Steel,2008-09-11,46.6,110.2,4,4.0
Round About (roller coaster),,,"2904 Fantasy Way Myrtle Beach, South Carolina, U.S.",Chapter 7 bankruptcy; rides dismantled and sold; property sold,,0,2008,33.714,-78.933,Other,,,,0,
Salama (roller coaster),"1,377.11 ft (419.74 m)",37.3 mph (60.0 km/h),Linnanmäki,Operating,Maurer AG,0,2008,60.1872,24.9392,Steel,2008-04-25,37.3,,0,
Soak'd,,,"2904 Fantasy Way Myrtle Beach, South Carolina, U.S.",Chapter 7 bankruptcy; rides dismantled and sold; property sold,,0,2008,33.714,-78.933,Other,,,,0,
SpongeBob SquarePants Rock Bottom Plunge,"1,371.4 ft (418.0 m)",43.5 mph (70.0 km/h),Nickelodeon Universe,Operating,Gerstlauer,122,2008,44.8553,-93.2425,Steel,2008-03-15,43.5,,2,4.4
Steel Hawg,,41 mph (66 km/h),Indiana Beach,Operating,S&S – Sansei Technologies,122,2008,40.7909,-86.7718,Steel,2008-07-05,41.0,,2,
Steel Lasso,293 m (961 ft),48.3 km/h (30.0 mph),Frontier City,Operating,Chance Morgan,0,2008,35.5838,-97.4405,Steel,2008-07-18,30.0,48.9,0,2.2
T Express,"1,641 m (5,384 ft)",103.9 km/h (64.6 mph),Everland,Operating,Intamin,130,2008,37.2898,127.2024,Wood,2008-03-14,64.6,183.8,0,
Tsunami (roller coaster),,55 mph (89 km/h),Other,,Anton Schwarzkopf,140,2008,,,Steel,,55.0,,0,
Apocalypse: The Ride,"2,877 ft (877 m)",50.1 mph (80.6 km/h),Six Flags Magic Mountain,Operating,Great Coasters International,122,2009,34.4213,-118.5998,Wood,2009-05-23,50.1,,0,
Blue Fire,"3,464.6 ft (1,056.0 m)",62 mph (100 km/h),Europa-Park,Operating,Mack Rides,130,2009,48.2624,7.7185,Steel,2009-04-04,62.0,,4,3.8
Diamondback (Kings Island),"5,282 ft (1,610 m)",80 mph (130 km/h),Kings Island,Operating,Bolliger & Mabillard,137,2009,39.3421,-84.2674,Other,2009-04-18,80.0,,0,4.2
Diving Coaster,"972 m (3,189 ft)",110 km/h (68 mph),Happy Valley Shanghai,Operating,Bolliger & Mabillard,0,2009,31.0979,121.209,Steel,2009-08-16,68.4,213.3,1,4.0
Escape of Novgorod,"700 m (2,300 ft)",100 km/h (62 mph),Hansa-Park,Operating,Gerstlauer,0,2009,54.0744,10.7814,Steel,2009-04-09,62.1,131.2,1,4.3
Falcon (Duinrell),"361 m (1,184 ft)",70 km/h (43 mph),Duinrell,Operating,Gerstlauer,120,2009,52.1477,4.3792,Steel,2009-05-14,43.5,72.2,3,4.5
Grover's Alpine Express,600 ft (180 m),26.5 mph (42.6 km/h),Busch Gardens Williamsburg,Operating,Zierer,0,2009,37.2361,-76.6444,Steel,2009-04-03,26.5,,0,
Hollywood Rip Ride Rockit,"3,800 ft (1,200 m)",65 mph (105 km/h),Universal Studios Florida,Operating,Maurer AG,130,2009,28.4749,-81.4683,Steel,2009-08-19,65.0,,0,4.18
Hornet (roller coaster),"1,148 ft (350 m)",,Other,,Vekoma,107,2009,,,Steel,,,,0,
Insane (Gröna Lund),"320 m (1,050 ft)",60 km/h (37 mph),Gröna Lund,Operating,Intamin,140,2009,59.3233,18.0953,Steel,2009-04-25,37.3,116.5,0,3.5
ISpeed,,74.6 mph (120.1 km/h),Mirabilandia,Operating,Intamin,140,2009,,,Steel,2009-05-20,74.6,,2,
Kozmo's Kurves,,,"Elysburg, Pennsylvania, United States",,,0,2009,40.879,-76.505,Other,,,,0,
Manta (SeaWorld Orlando),"3,359 ft (1,024 m)",56 mph (90 km/h),SeaWorld Orlando,Operating,Bolliger & Mabillard,137,2009,28.4119,-81.4617,Steel,2009-05-22,56.0,,4,3.7
Mumbo Jumbo (roller coaster),,41 mph (66 km/h),Flamingo Land Resort,Operating,S&S – Sansei Technologies,122,2009,54.209,-0.808,Steel,2009-07-04,41.0,,2,3.0
Prowler (roller coaster),"3,074 ft (937 m)",51.2 mph (82.4 km/h),Worlds of Fun,Operating,Great Coasters International,122,2009,39.1744,-94.4837,Wood,2009-05-02,51.2,,0,
Saw – The Ride,"2,362 ft (720 m)",55 mph (89 km/h),Thorpe Park,Operating,Gerstlauer,140,2009,51.4026,-0.5119,Steel,2009-03-14,55.0,,3,
Teststrecke,"2,200 ft (670 m)",52 mph (84 km/h),Other,,Anton Schwarzkopf,122,2009,,,Steel,,52.0,,2,
The Flying Cobras,935 ft (285 m),47 mph (76 km/h),Other,,Vekoma,122,2009,,,Steel,,47.0,,6,5.2
El Toro (Freizeitpark Plohn),"725.1 m (2,379 ft)",73.4 km/h (45.6 mph),Freizeitpark Plohn,Operating,Great Coasters International,0,2009,50.566,12.401,Wood,2009-04-10,45.6,80.4,0,
